eta_D,eta_H,d_cap,h_cap,best_Gini,n_feasible,Variant,Instance
0.03,0.05,346.238208,209.51805000000002,0.1451,21,FULL,r105C15
0.05,0.05,352.96128,209.51805000000002,0.038,49,FULL,r105C15
0.1,0.05,369.76896,209.51805000000002,0.0269,65,FULL,r105C15
0.0,0.0,156.0821,199.3246,,0,FULL,r105C5
0.01,0.0,157.642921,199.3246,,0,FULL,r105C5
0.03,0.0,160.764563,199.3246,,0,FULL,r105C5
0.05,0.0,163.886205,199.3246,,0,FULL,r105C5
0.1,0.0,171.69031,199.3246,0.0068,40,FULL,r105C5
0.0,0.05,156.0821,209.29083,,0,FULL,r105C5
0.01,0.05,157.642921,209.29083,,0,FULL,r105C5
0.03,0.05,160.764563,209.29083,,0,FULL,r105C5
0.05,0.05,163.886205,209.29083,,0,FULL,r105C5
0.1,0.05,171.69031,209.29083,0.0068,40,FULL,r105C5
0.0,0.0,1372.2938,215.3752,,0,FULL,r105_21
0.01,0.0,1386.016738,215.3752,,0,FULL,r105_21
0.03,0.0,1413.462614,215.3752,,0,FULL,r105_21
0.05,0.0,1440.90849,215.3752,,0,FULL,r105_21
0.1,0.0,1509.5231800000001,215.3752,0.0498,5,FULL,r105_21
0.0,0.05,1372.2938,226.14396000000002,,0,FULL,r105_21
0.01,0.05,1386.016738,226.14396000000002,0.0878,1,FULL,r105_21
0.03,0.05,1413.462614,226.14396000000002,0.0483,19,FULL,r105_21
0.05,0.05,1440.90849,226.14396000000002,0.036,54,FULL,r105_21
0.1,0.05,1509.5231800000001,226.14396000000002,0.0296,176,FULL,r105_21
0.0,0.0,1281.447,217.2476,,0,FULL,r106_21
0.01,0.0,1294.26147,217.2476,,0,FULL,r106_21
0.03,0.0,1319.89041,217.2476,,0,FULL,r106_21
0.05,0.0,1345.51935,217.2476,,0,FULL,r106_21
0.1,0.0,1409.5917,217.2476,,0,FULL,r106_21
0.0,0.05,1281.447,228.10998,,0,FULL,r106_21
0.01,0.05,1294.26147,228.10998,0.0948,1,FULL,r106_21
0.03,0.05,1319.89041,228.10998,0.0849,15,FULL,r106_21
0.05,0.05,1345.51935,228.10998,0.0592,47,FULL,r106_21
0.1,0.05,1409.5917,228.10998,0.0287,162,FULL,r106_21
0.0,0.0,1124.3969,220.9651,,0,FULL,r107_21
0.01,0.0,1135.640869,220.9651,,0,FULL,r107_21
0.03,0.0,1158.128807,220.9651,,0,FULL,r107_21
0.05,0.0,1180.616745,220.9651,,0,FULL,r107_21
0.1,0.0,1236.8365900000001,220.9651,,0,FULL,r107_21
0.0,0.05,1124.3969,232.01335500000002,,0,FULL,r107_21
