Iteration,Timestamp_ms,ArchiveSize,BestDistance,BestVehicles,BestMaxTime,BestWorkloadGini
200,16744,9,1369.0130,14,226.9509,0.0482
400,35163,16,1340.5991,14,226.9509,0.0413
600,48416,18,1340.5991,14,226.9509,0.0413
800,66116,18,1338.4023,14,226.9509,0.0413
1000,83610,18,1338.4023,14,226.9509,0.0336
1200,102056,18,1338.4023,14,226.9509,0.0336
1400,114931,19,1338.4023,14,226.9509,0.0336
1600,129729,22,1338.4023,14,226.9269,0.0336
1800,144771,25,1336.3722,14,226.9269,0.0336
2000,159308,23,1336.3722,14,226.4043,0.0336
2200,175337,19,1336.3722,14,226.3044,0.0336
2400,185609,11,1317.4989,14,226.3044,0.0287
2600,202806,14,1317.4989,14,226.3044,0.0287
2800,218913,17,1317.4989,14,226.3044,0.0287
3000,234765,18,1314.2242,14,223.0299,0.0287
3200,245905,21,1314.2242,14,223.0299,0.0287
3400,256651,24,1314.2242,14,223.0299,0.0287
3600,275848,26,1309.4921,14,223.0299,0.0287
3800,287841,26,1309.4921,14,223.0299,0.0287
4000,306877,25,1309.4921,14,223.0299,0.0287
4200,316464,27,1309.4921,14,223.0299,0.0286
4400,326260,28,1309.4921,14,223.0299,0.0276
4600,339645,30,1309.4921,14,223.0299,0.0276
4800,349037,29,1309.4921,14,223.0299,0.0276
5000,362029,29,1309.4921,14,223.0299,0.0276
5200,377338,30,1309.4921,14,223.0299,0.0276
5400,387631,30,1309.4921,14,223.0299,0.0276
5600,393808,30,1309.4921,14,223.0299,0.0276
5800,394286,26,1309.4921,14,223.0299,0.0276
6000,394947,27,1309.4921,14,223.0299,0.0276
6200,395421,27,1309.4921,14,223.0299,0.0276
6400,404355,27,1309.4921,14,223.0299,0.0276
6600,418236,28,1309.0220,14,223.0299,0.0276
6800,430006,32,1309.0220,14,223.0299,0.0276
7000,444398,32,1309.0220,14,223.0299,0.0276
7200,451955,34,1309.0220,14,223.0299,0.0276
7400,463906,34,1309.0220,14,223.0299,0.0276
7600,474387,35,1309.0220,14,223.0299,0.0276
7800,487080,39,1309.0220,14,223.0299,0.0276
8000,495460,34,1309.0220,14,223.0299,0.0276
8200,510104,35,1309.0220,14,223.0299,0.0276
8400,517499,35,1309.0220,14,223.0299,0.0276
8600,526931,36,1309.0220,14,223.0299,0.0276
8800,536033,36,1309.0220,14,223.0299,0.0276
9000,548824,36,1309.0220,14,223.0299,0.0276
9200,560599,36,1309.0220,14,223.0299,0.0276
9400,569344,37,1309.0220,14,223.0299,0.0276
9600,581370,40,1309.0220,14,223.0299,0.0276
9800,593796,40,1309.0220,14,223.0299,0.0276
10000,601804,41,1309.0220,14,223.0299,0.0276
10200,614379,41,1309.0220,14,223.0299,0.0276
10400,622351,42,1309.0220,14,223.0299,0.0276
10600,633124,42,1309.0220,14,223.0299,0.0276
10800,646748,42,1309.0220,14,223.0299,0.0276
11000,653530,42,1309.0220,14,223.0299,0.0276
11200,659746,42,1309.0220,14,223.0299,0.0276
11400,666913,43,1309.0220,14,223.0299,0.0276
11600,673299,43,1309.0220,14,223.0299,0.0276
11800,690423,43,1309.0220,14,223.0299,0.0276
12000,700411,46,1309.0220,14,223.0299,0.0247
12200,705675,47,1309.0220,14,223.0299,0.0247
12400,713504,47,1309.0220,14,223.0299,0.0247
12600,729392,47,1309.0220,14,223.0299,0.0247
12800,740034,48,1309.0220,14,223.0299,0.0247
13000,746483,48,1309.0220,14,223.0299,0.0247
13200,754186,48,1309.0220,14,223.0299,0.0247
13400,763633,48,1309.0220,14,223.0299,0.0247
13600,775451,48,1309.0220,14,223.0299,0.0247
13800,783278,48,1309.0220,14,223.0299,0.0247
14000,795969,49,1309.0220,14,223.0299,0.0247
14200,803380,49,1309.0220,14,223.0299,0.0247
14400,810077,52,1309.0220,14,223.0299,0.0223
14600,825747,52,1309.0220,14,223.0299,0.0223
14800,831941,53,1309.0220,14,223.0299,0.0223
15000,846069,54,1309.0220,14,223.0299,0.0223
15200,859244,54,1309.0220,14,223.0299,0.0223
15400,865637,54,1309.0220,14,223.0299,0.0223
15600,879142,54,1309.0220,14,223.0299,0.0223
15800,894039,54,1309.0220,14,223.0299,0.0223
16000,901959,54,1309.0220,14,223.0299,0.0223
16200,910366,54,1309.0220,14,223.0299,0.0223
16400,917013,54,1309.0220,14,223.0299,0.0223
16600,935039,53,1309.0220,14,223.0299,0.0223
16800,944585,53,1309.0220,14,223.0299,0.0223
17000,955058,53,1309.0220,14,223.0299,0.0223
17200,966978,53,1309.0220,14,223.0299,0.0223
17400,976196,54,1309.0220,14,223.0299,0.0223
17600,982746,54,1309.0220,14,223.0299,0.0223
17800,985788,55,1309.0220,14,223.0299,0.0223
18000,991609,48,1309.0220,14,223.0299,0.0223
18200,1001696,50,1309.0220,14,223.0299,0.0223
18400,1003927,49,1309.0220,14,223.0299,0.0219
